Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test)
-,-,-,-,-,-,-
LinearRegression,VarianceThreshold,-,15,228673.82372935826,0.6534267261273159,0.6541020314679191
LinearRegression,VarianceThreshold,MinMaxScaler(),15,228673.8237293436,0.6534267261273159,0.6541020314679635
LinearRegression,VarianceThreshold,StandardScaler(),15,228678.8033677556,0.6534237409862053,0.6540869666429934
LinearRegression,VarianceThreshold,RobustScaler(),15,228673.8237293436,0.6534267261273159,0.6541020314679635
LinearRegression,VarianceThreshold,-,14,235254.04119171773,0.6392932302266592,0.6339088006954305
LinearRegression,VarianceThreshold,MinMaxScaler(),14,235254.04119172573,0.6392932302266592,0.6339088006954057
LinearRegression,VarianceThreshold,StandardScaler(),14,235255.4343531963,0.6392879424640785,0.6339044647387423
LinearRegression,VarianceThreshold,RobustScaler(),14,235254.04119172576,0.6392932302266592,0.6339088006954057
LinearRegression,VarianceThreshold,-,13,235431.91876571564,0.6383834642782658,0.633354982085261
LinearRegression,VarianceThreshold,MinMaxScaler(),13,235431.91876572766,0.6383834642782659,0.6333549820852236
LinearRegression,VarianceThreshold,StandardScaler(),13,235431.91876572772,0.6383834642782658,0.6333549820852233
LinearRegression,VarianceThreshold,RobustScaler(),13,235431.91876572766,0.6383834642782658,0.6333549820852236
LinearRegression,VarianceThreshold,-,12,235955.1852371533,0.637687176322291,0.6317233745254028
LinearRegression,VarianceThreshold,MinMaxScaler(),12,235955.1852371561,0.6376871763222911,0.631723374525394
LinearRegression,VarianceThreshold,StandardScaler(),12,235955.1852371561,0.6376871763222911,0.6317233745253941
LinearRegression,VarianceThreshold,RobustScaler(),12,235955.1852371561,0.6376871763222911,0.631723374525394
LinearRegression,VarianceThreshold,-,10,242475.0194809188,0.6143507102674174,0.6110900006055308
LinearRegression,VarianceThreshold,MinMaxScaler(),10,242490.47249564738,0.6143569507843325,0.6110404282952291
LinearRegression,VarianceThreshold,StandardScaler(),10,242484.83106116345,0.6143507408538915,0.6110585260323772
LinearRegression,VarianceThreshold,RobustScaler(),10,242475.01948091088,0.6143507102674175,0.6110900006055562
LinearRegression,SelectKBest,-,15,228673.82372935826,0.6534267261273159,0.6541020314679191
LinearRegression,SelectKBest,MinMaxScaler(),15,228673.8237293436,0.6534267261273159,0.6541020314679635
LinearRegression,SelectKBest,StandardScaler(),15,228678.8033677556,0.6534237409862053,0.6540869666429934
LinearRegression,SelectKBest,RobustScaler(),15,228673.8237293436,0.6534267261273159,0.6541020314679635
LinearRegression,SelectKBest,-,13,229247.67365481253,0.6520005140355278,0.6523638125768287
LinearRegression,SelectKBest,MinMaxScaler(),13,229349.1920869574,0.6520245884509,0.6520558548622996
LinearRegression,SelectKBest,StandardScaler(),13,229350.5444112683,0.6520325848103726,0.6520517516456348
LinearRegression,SelectKBest,RobustScaler(),13,229334.09521230866,0.6520743418803696,0.6521016600924071
LinearRegression,SelectKBest,-,10,244611.89889287125,0.5935403285110905,0.6042050380199184
LinearRegression,SelectKBest,MinMaxScaler(),10,244597.2859641927,0.5936613860060438,0.6042523255870345
LinearRegression,SelectKBest,StandardScaler(),10,244615.54373140112,0.5936400511223671,0.6041932428498415
LinearRegression,SelectKBest,RobustScaler(),10,244597.28596419274,0.5936613860060438,0.6042523255870343
LinearRegression,SelectKBest,-,7,245811.06571188528,0.5903243149494666,0.6003148955657203
LinearRegression,SelectKBest,MinMaxScaler(),7,245811.06571188578,0.5903243149494666,0.6003148955657187
LinearRegression,SelectKBest,StandardScaler(),7,245811.06571188578,0.5903243149494666,0.6003148955657187
LinearRegression,SelectKBest,RobustScaler(),7,245811.06571188578,0.5903243149494666,0.6003148955657187
LinearRegression,SelectKBest,-,5,261392.19219116928,0.5429398809326067,0.5480396608809948
LinearRegression,SelectKBest,MinMaxScaler(),5,261392.1921911692,0.5429398809326067,0.548039660880995
LinearRegression,SelectKBest,StandardScaler(),5,261392.1921911692,0.5429398809326067,0.548039660880995
LinearRegression,SelectKBest,RobustScaler(),5,261392.19219116916,0.5429398809326067,0.5480396608809952
LinearRegression,RFE,-,15,228673.82372935826,0.6534267261273159,0.6541020314679191
LinearRegression,RFE,MinMaxScaler(),15,228673.8237293436,0.6534267261273159,0.6541020314679635
LinearRegression,RFE,StandardScaler(),15,228678.8033677556,0.6534237409862053,0.6540869666429934
LinearRegression,RFE,RobustScaler(),15,228673.8237293436,0.6534267261273159,0.6541020314679635
LinearRegression,RFE,-,13,229247.67365481253,0.6520005140355278,0.6523638125768287
LinearRegression,RFE,MinMaxScaler(),13,229349.1920869574,0.6520245884509,0.6520558548622996
LinearRegression,RFE,StandardScaler(),13,229350.5444112683,0.6520325848103726,0.6520517516456348
LinearRegression,RFE,RobustScaler(),13,229334.09521230866,0.6520743418803696,0.6521016600924071
LinearRegression,RFE,-,10,241527.22604726074,0.6011836528889425,0.6141244239855546
LinearRegression,RFE,MinMaxScaler(),10,241587.3421422484,0.6013003340369327,0.6139323113192741
LinearRegression,RFE,StandardScaler(),10,241573.18637606877,0.6013034421786532,0.6139775531251503
LinearRegression,RFE,RobustScaler(),10,241587.3421422484,0.6013003340369327,0.6139323113192741
LinearRegression,RFE,-,7,243714.67168112565,0.596307898850081,0.6071032349762921
LinearRegression,RFE,MinMaxScaler(),7,243648.58770026822,0.5964892530316093,0.6073162764151671
LinearRegression,RFE,StandardScaler(),7,243665.88533629428,0.5964686311924106,0.607260517904091
LinearRegression,RFE,RobustScaler(),7,243605.83894969252,0.5965433905257607,0.6074540589984817
LinearRegression,RFE,-,5,249658.7903391908,0.5739639096465747,0.5877042788989406
LinearRegression,RFE,MinMaxScaler(),5,249668.56794971632,0.5739562251027825,0.5876719840543102
LinearRegression,RFE,StandardScaler(),5,249651.8651187476,0.5739470159606743,0.5877271517098853
LinearRegression,RFE,RobustScaler(),5,249727.7049064601,0.5739390468238533,0.5874766313750184
